emotion,gender,id,original_name,trial_type,trial,subject,noise,pas,noise_est,emo_resp
fear,male,05,AM05AFS.png,99,1,1,0.09,1,0.0978745454545455,NaN
neutral,female,31,AF31NES.png,99,2,1,0.09,0,0.0978745454545455,NaN
fear,male,08,BM08AFS.png,99,3,1,0.08,4,0.0978745454545455,1
fear,female,21,AF21AFS.png,99,4,1,0.01,4,0.0978745454545455,1
neutral,female,21,AF21NES.png,99,5,1,0.06,2,0.0978745454545455,0
neutral,female,31,AF31NES.png,99,6,1,0.02,3,0.0978745454545455,0
fear,female,31,AF31AFS.png,99,7,1,0.09,1,0.0978745454545455,NaN
neutral,male,05,AM05NES.png,99,8,1,0.08,1,0.0978745454545455,NaN
fear,female,09,AF09AFS.png,99,9,1,0.06,1,0.0978745454545455,NaN
neutral,female,31,AF31NES.png,99,10,1,0.01,3,0.0978745454545455,0
fear,female,31,AF31AFS.png,99,11,1,0.07,3,0.0978745454545455,1
neutral,female,09,AF09NES.png,99,12,1,0.03,2,0.0978745454545455,0
neutral,female,31,AF31NES.png,99,13,1,0.03,2,0.0978745454545455,0
neutral,male,05,AM05NES.png,99,14,1,0,4,0.0978745454545455,0
fear,male,05,AM05AFS.png,99,15,1,0.09,2,0.0978745454545455,1
neutral,male,05,AM05NES.png,1,16,1,0,4,0.0978745454545455,0
fear,female,14,BF14AFS.png,1,17,1,0.03484,2,0.0978745454545455,1
fear,female,31,AF31AFS.png,1,18,1,0.06968,2,0.0978745454545455,1
fear,female,31,AF31AFS.png,0,19,1,5,0,0.0978745454545455,NaN
fear,female,21,AF21AFS.png,1,20,1,0.10452,2,0.0978745454545455,1
neutral,female,14,BF14NES.png,1,21,1,0.13936,1,0.0978745454545455,NaN
neutral,female,31,AF31NES.png,0,22,1,5,0,0.0978745454545455,NaN
neutral,male,24,BM24NES.png,1,23,1,0.09936,1,0.0978745454545455,NaN
neutral,female,21,AF21NES.png,1,24,1,0.05936,1,0.0978745454545455,NaN
fear,male,24,BM24AFS.png,0,25,1,5,0,0.0978745454545455,NaN
neutral,male,05,AM05NES.png,1,26,1,0.01936,4,0.0978745454545455,0
fear,male,24,BM24AFS.png,1,27,1,0.0542,2,0.0978745454545455,1
neutral,male,17,AM17NES.png,1,28,1,0.08904,1,0.0978745454545455,NaN
neutral,female,14,BF14NES.png,1,29,1,0.04904,3,0.0978745454545455,0
fear,female,31,AF31AFS.png,1,30,1,0.08388,2,0.0978745454545455,1
neutral,female,21,AF21NES.png,1,31,1,0.11872,1,0.0978745454545455,NaN
fear,female,21,AF21AFS.png,1,32,1,0.07872,2,0.0978745454545455,1
neutral,male,17,AM17NES.png,1,33,1,0.11356,1,0.0978745454545455,NaN
neutral,male,17,AM17NES.png,1,34,1,0.07356,2,0.0978745454545455,0
fear,female,14,BF14AFS.png,1,35,1,0.1084,1,0.0978745454545455,NaN
fear,male,08,BM08AFS.png,1,36,1,0.0684,2,0.0978745454545455,1
